,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7984099943214082,0.6521739130434783,0.5139186295503212,0.5748502994011976,0.8461884699270891
Random Forest,0.7779670641680864,0.611764705882353,0.44539614561027835,0.5154894671623296,0.8204296555672864
XGBoost,0.7808063600227144,0.6020151133501259,0.5117773019271948,0.5532407407407407,0.8174749875061642
